Level,Code,Class title,Element Type Label English,Element Description English,,,,
4,0012,Senior government managers and officials,All examples,council secretary - government services ,,,,
4,0012,Senior government managers and officials,All examples,county clerk ,,,,
4,0012,Senior government managers and officials,All examples,deputy commissioner - government services ,,,,
4,0012,Senior government managers and officials,All examples,deputy minister ,,,,
4,0012,Senior government managers and officials,All examples,deputy minister - government services ,,,,
4,0012,Senior government managers and officials,All examples,deputy municipal clerk ,,,,
4,0012,Senior government managers and officials,All examples,deputy provincial secretary - government services ,,,,
4,0012,Senior government managers and officials,All examples,director general - government services ,,,,
4,0012,Senior government managers and officials,All examples,employment insurance appeals board chairperson ,,,,
4,0012,Senior government managers and officials,All examples,employment insurance commissioner ,,,,
4,0012,Senior government managers and officials,All examples,executive administrator - government agency ,,,,
4,0012,Senior government managers and officials,All examples,executive administrator - government department ,,,,
4,0012,Senior government managers and officials,All examples,executive director - emergency preparedness ,,,,
4,0012,Senior government managers and officials,All examples,executive director - government services ,,,,
4,0012,Senior government managers and officials,All examples,fire marshal ,,,,
4,0012,Senior government managers and officials,All examples,First Nations band manager ,,,,
4,0012,Senior government managers and officials,All examples,general manager - government services ,,,,
4,0012,Senior government managers and officials,All examples,general secretary - government services ,,,,
4,0012,Senior government managers and officials,All examples,government agency commissioner ,,,,
4,0012,Senior government managers and officials,All examples,government agency president ,,,,
4,0012,Senior government managers and officials,All examples,government agency senior administrator ,,,,
4,0012,Senior government managers and officials,All examples,grain commissioner ,,,,
4,0012,Senior government managers and officials,All examples,health commissioner ,,,,
4,0012,Senior government managers and officials,All examples,high commissioner ,,,,
4,0012,Senior government managers and officials,All examples,highway commissioner ,,,,
4,0012,Senior government managers and officials,All examples,Human Rights Commission chairperson ,,,,
4,0012,Senior government managers and officials,All examples,inspector general of financial institutions ,,,,
4,0012,Senior government managers and officials,All examples,liquor commissioner ,,,,
4,0012,Senior government managers and officials,All examples,local government manager ,,,,
4,0012,Senior government managers and officials,All examples,manager - First Nations ,,,,
4,0012,Senior government managers and officials,All examples,municipal administrator ,,,,
4,0012,Senior government managers and officials,All examples,ombudsperson - government services ,,,,
4,0012,Senior government managers and officials,All examples,parole board chairman/woman ,,,,
4,0012,Senior government managers and officials,All examples,president - government services ,,,,
4,0012,Senior government managers and officials,All examples,railroad commissioner ,,,,
4,0012,Senior government managers and officials,All examples,receiver general for Canada ,,,,
4,0012,Senior government managers and officials,All examples,regional municipality general director ,,,,
4,0012,Senior government managers and officials,All examples,secretary to the council - government services ,,,,
4,0012,Senior government managers and officials,All examples,sergeant-at-arms of the House of Commons ,,,,
4,0012,Senior government managers and officials,All examples,superintendent of financial institutions ,,,,
4,0012,Senior government managers and officials,All examples,territorial commissioner ,,,,
4,0012,Senior government managers and officials,All examples,town clerk ,,,,
4,0012,Senior government managers and officials,All examples,township clerk ,,,,
4,0012,Senior government managers and officials,All examples,trade commissioner ,,,,
4,0012,Senior government managers and officials,All examples,undersecretary of state ,,,,
4,0012,Senior government managers and officials,All examples,vice-consul ,,,,
4,0012,Senior government managers and officials,All examples,vice-president - government services ,,,,
4,0012,Senior government managers and officials,Inclusion(s),county clerk ,,,,
4,0012,Senior government managers and officials,Inclusion(s),town clerk ,,,,
4,0012,Senior government managers and officials,Exclusion(s),Legislators  (See 0011 Legislators),,,,
4,0012,Senior government managers and officials,Exclusion(s),Middle managers in government  (See 041 Managers in public administration),,,,
4,0012,Senior government managers and officials,Main duties,This group performs some or all of the following duties: ,,,,
4,0012,Senior government managers and officials,Main duties,"Establish objectives for the organization in accordance with government legislation and policy, formulate or approve and evaluate programs and procedures alone or in conjunction with senior government committees ",,,,
4,0012,Senior government managers and officials,Main duties,Advise elected representatives on policy questions and refer major policy matters to these representatives for final decision ,,,,
4,0012,Senior government managers and officials,Main duties,"Recommend, review, evaluate and approve documents, briefs and reports submitted by middle managers and senior staff members ",,,,
4,0012,Senior government managers and officials,Main duties,Co-ordinate department activities with other senior government managers and officials ,,,,
4,0012,Senior government managers and officials,Main duties,"Make presentations to legislative and other government committees regarding policies, programs or budgets ",,,,
4,0012,Senior government managers and officials,Main duties,Allocate human and financial resources to implement organizational policies and programs ,,,,
4,0012,Senior government managers and officials,Main duties,Establish financial and administrative controls. ,,,,
4,0012,Senior government managers and officials,Employment requirements,A university degree or college diploma is usually required. ,,,,
4,0012,Senior government managers and officials,Employment requirements,A graduate degree in a related field may be required. ,,,,
4,0012,Senior government managers and officials,Employment requirements,Several years of managerial experience in the public or private sector are required. ,,,,
4,0012,Senior government managers and officials,Additional information,There is mobility among senior management occupations. ,,,,
4,0013,"Senior managers - financial, communications and other business services",Illustrative example(s),advertising agency president ,,,,
4,0013,"Senior managers - financial, communications and other business services",Illustrative example(s),bank president ,,,,
4,0013,"Senior managers - financial, communications and other business services",Illustrative example(s),chief executive officer (CEO) - telephone company ,,,,
4,0013,"Senior managers - financial, communications and other business services",Illustrative example(s),chief financial officer (CFO) - advertising agency ,,,,
4,0013,"Senior managers - financial, communications and other business services",Illustrative example(s),chief operating officer - engineering firm ,,,,
4,0013,"Senior managers - financial, communications and other business services",Illustrative example(s),computing services company president ,,,,
4,0013,"Senior managers - financial, communications and other business services",Illustrative example(s),credit union executive director ,,,,
4,0013,"Senior managers - financial, communications and other business services",Illustrative example(s),executive vice-president - real estate agency ,,,,
4,0013,"Senior managers - financial, communications and other business services",Illustrative example(s),general manager - real estate management company ,,,,
4,0013,"Senior managers - financial, communications and other business services",Illustrative example(s),human resources vice-president - bank ,,,,
4,0013,"Senior managers - financial, communications and other business services",Illustrative example(s),marketing vice-president - clerical staff services ,,,,
